text,aspect,label
Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.,performance,1
"So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.",design,0
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,performance,0
After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.,performance,1
"It was slow, locked up, and also had hardware replaced after only 2 months!",performance,0
they had to replace the motherboard in April,performance,0
"Yes, the computer was light weight, less expensive than the average laptop, and was pretty self explantory in use.",software,2
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",software,0
"Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.",software,2
I love WIndows 7 which is a vast improvment over Vista.,software,2
I love WIndows 7 which is a vast improvment over Vista.,software,0
"Keyboard is great, very quiet for all the typing that I do.",design,2
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",battery,0
"It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.",software,1
"I can render AVCHD movies with little effort, which was a problem for most pc's unless you had a quad core I7.",performance,2
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",software,2
"If you really want a bang-up system and don't need to run Windows applications, go with an Apple;",software,1
You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.,software,0
It weighed like seven pounds or something like that.,design,1
It weighed like seven pounds or something like that.,design,1
"2 months later, the battery went.",battery,0
It's color is even cool.,design,2
keys are all in weird places and is way too large for the way it is designed.,price,0
keys are all in weird places and is way too large for the way it is designed.,design,0
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",design,2
"Yes, a Mac is much more money than the average laptop out there, but there is no comparison in style, speed and just cool factor.",performance,2
The keyboard feels good and I type just fine on it.,design,2
I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.,design,1
"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",battery,0
"BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple",price,2
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",storage,1
"no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.",performance,1
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",performance,2
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",design,2
"Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.",battery,2
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",design,2
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",price,2
) I also tried the touch pad and compared it to other netbooks in the store.,design,1
"It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.",software,2
"  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",software,0
lots of preloaded software.,software,2
"I wish it had a webcam though, then it would be perfect!",camera,0
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,design,2
My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,display,1
Another thing I might add is the battery life is excellent.,battery,2
"One drawback, I wish the keys were backlit.",price,0
"Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.",software,2
I wish the volume could be louder and the mouse didnt break after only a month.,storage,0
I wish the volume could be louder and the mouse didnt break after only a month.,design,0
"I play a lot of casual games online, and the touchpad is very responsive.",design,2
"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",performance,2
It caught a virus that completely wiped out my hard drive in a matter of hours.,storage,0
"The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.",software,0
"Great battery, speed, display.",battery,2
"Great battery, speed, display.",performance,2
"Great battery, speed, display.",display,2
I've been impressed with the battery life and the performance for such a small amount of memory.,battery,2
I've been impressed with the battery life and the performance for such a small amount of memory.,performance,2
I've been impressed with the battery life and the performance for such a small amount of memory.,storage,0
"It's applications are terrific, including the replacements for Microsoft office.",software,2
"It's applications are terrific, including the replacements for Microsoft office.",software,2
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",display,0
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",design,0
"they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.",battery,0
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",camera,0
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",camera,0
"I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.",camera,0
Is this partially due to the fact that it is running Windows Vista?,software,1
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,charging,0
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,charging,0
  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,charging,0
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",charging,2
"My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!",software,2
"oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?",camera,0
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",software,2
"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",camera,2
The screen is very large and crystal clear with amazing colors and resolution.,display,2
The screen is very large and crystal clear with amazing colors and resolution.,design,2
The screen is very large and crystal clear with amazing colors and resolution.,display,2
"After a little more than a year of owning my MacBook Pro, the monitor has completely died.",display,0
"Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.",design,0
Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,software,0
"The display is incredibly bright, much brighter than my PowerBook and very crisp.",display,2
The AMD Turin processor seems to always perform so much better than Intel.,performance,2
The AMD Turin processor seems to always perform so much better than Intel.,performance,0
The start menu is not the easiest thing to navigate due to the stacking.,performance,0
The screen is bright and the keyboard is nice;,display,2
The screen is bright and the keyboard is nice;,design,2
"High price tag, however.",price,0
"I thought learning the Mac OS would be hard, but it is easily picked up if you are familiar with a PC.",software,2
"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD.",camera,0
It is easy to use and lightweight.,software,2
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,design,1
If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.,performance,1
This laptop is a great price and has a sleek look.,price,2
This laptop is a great price and has a sleek look.,design,2
I especially like the keyboard which has chiclet type keys.,design,2
I especially like the keyboard which has chiclet type keys.,price,2
Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.,camera,0
"For the not so good, I got the stock screen - which is VERY glossy.",display,0
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,performance,0
The processor a AMD Semprom at 2.1 ghz is a bummer it does not have the power for HD or heavy computing.,software,0
I bought a protector for my key pad and it works great :),design,2
It seems they could have updated XP and done without creating Vista.,software,2
It seems they could have updated XP and done without creating Vista.,software,0
"  It is easy to use, fast and has great graphics for the money.",camera,2
"  It is easy to use, fast and has great graphics for the money.",software,2
I like how the Mac OS is so simple and easy to use.,software,2
I like how the Mac OS is so simple and easy to use.,software,2
only good thing is the graphics quality.,camera,2
The paint wears off easily due to the keyboard being farther back than usual.,design,0
I always use a backup hard disk to store important files at all times.,storage,1
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",storage,0
"They sent out the box right away for me to send in my computer, they paid postage and whatnot, but when I got my computer back it still wasn't running right, and now my CD drive wasn't reading anything!",battery,0
But the screen size is not that bad for email and web browsing.,display,2
Once I removed all the software the laptop loads in 15-20 seconds.,software,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,design,0
On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.,design,0
"Obviously one of the most important features of any computer is the ""human interface.",software,1
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",software,0
"Yeah, of course smarty pants ""fix it now"")Software - Compared to the early 2011 edition I did see inbuilt applications crashing and it prompted me to send the report to Apple (which I promptly did).",software,0
The body is a bit cheaply made so it will be interesting to see how long it holds up.,design,0
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",software,1
"With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.",design,1
"Am very glad I bought it, great netbook, low price.",price,2
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",software,0
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",software,0
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",software,1
"I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).",software,0
The video chat is the only thing that is iffy about it but im sure once they unpdate the next version on the macbook book the quality of it will be better.,camera,0
That whole experience was just ridiculous we sent it in and after they told us that we had to pay $175 to fix it we were like we will just by a portable mouse which would be way cheaper but they refused to send the laptop back until we paid the $175 and it was fixed.,design,2
"Fan vents to the side, so no cooling pad needed, great feature!",battery,2
"Fan vents to the side, so no cooling pad needed, great feature!",battery,1
"i use my mac all the time, i love the software, the way it takes a short time to load things, how easy it is to use and most of all how you don't have to worry about viruses.",software,2
"It has far exceeded my expectations for power, storage, and abilitiy.",performance,2
"It has far exceeded my expectations for power, storage, and abilitiy.",storage,2
My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,software,1
I am enjoying it and the quality it provides is great!,camera,2
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",battery,2
"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",performance,2
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",software,2
"The OS is also very user friendly, even for those that switch from a PC, with a little practice you can take full advantage of this OS!",software,2
"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",software,2
"Well I spilled something on it and they replaced it with this model, which gets hot and the battery doesn't make it through 1 DVD.",battery,0
I need graphic power to run my Adobe Creative apps efficiently.,performance,1
the programs are esay to use and are quick to process this computer works like a charm.,software,2
the programs are esay to use and are quick to process this computer works like a charm.,software,2
The materials that came with the computer did not include the right # anywhere.,design,0
It does not even have the software to play a dvd now.,software,0
Tech support tells me the latter problem is a power supply problem and have offered to fix it if it happens again.,charging,0
HOW DOES THE POWER SUPPLY NOT WORK!!!,charging,0
Sells for the same as a netbook without sacrificing size.,design,2
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",software,0
"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",software,0
"With awesome graphics and assuring security, it's perfect!",camera,2
"Laptop was in new condition and operational, but for the audio problem when 1st sent for repair.",camera,0
I was disappointed when I realized that the keyboard doesn't light up on this model.,design,0
It runs perfectly.,battery,2
  Sometimes the screen even goes black on this computer.,display,0
I recommend for word processing and internet users.,charging,2
Since I've had this computer I've only used the trackpad because it is so nice and smooth.,design,2
A longer battery life would have been great - but it meets it's spec quite easily.,performance,2
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",storage,2
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",performance,2
Its fast and another thing I like is that it has three USB ports.,design,2
The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,software,0
That system is fixed.,software,1
Like the price and operation.,price,2
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",price,0
"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",camera,0
Loaded with bloatware.,software,1
I loaded windows 7 via Bootcamp and it works flawlessly!,software,2
"Great Laptop for the price, works well with action pack games.",price,2
"Great Laptop for the price, works well with action pack games.",software,2
"Although the price is higher then Dell laptops, the Macbooks are worth the dough.",price,0
I would not recommend this to anyone wanting a notebook expecting the performance of a Desktop it does not meet the expectations.,performance,0
So what if the laptops/mobile phones look chic and cool? The after sales support is terrible.,design,2
I hate the display screen and I have done everything I could do the change it.,display,0
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",display,0
"I gave it to my daughter because I just hated the screen, hated that it had no cd drive to at least play cd's when I wanted to listen to music and do schoolwork.",storage,0
It runs very quiet too which is a plus.,battery,2
but it  has a major design flaw.,design,0
"It was heavy,bulky, and hard to carry because of the size.",design,0
Sometimes you really have to tap the pad to get it to worki,design,0
It's super fast and a great value for the price!,price,2
It's super fast and a great value for the price!,price,2
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",performance,0
"Three, the mac book has advantages over pcs' with linux based os there is very 'few problems with system performance when it comes to a mac.",software,0
A mac is very easy to use and it simply makes sense.,software,2
"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",battery,1
It is so much easier to use,software,2
There is no need to open a program first and the cliick open or import.,software,2
"Three weeks after I bought the netbook, the screen quit working.",display,0
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",performance,2
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",software,2
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",camera,2
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",performance,1
"The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.",software,1
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,performance,1
I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.,design,1
"The price premium is a little much, but when you start looking at the features it is worth the added cash.",price,0
"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",design,1
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,display,0
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,design,0
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.,performance,0
The battery life was shorter than expected.,battery,0
The keyboard is top notch.,design,2
It drives me crazy when I want to download a game or something of that nature and I can't play it because its not compatable with the software.,software,0
The online tutorial videos make it super easy to learn if you have always used a PC.,camera,2
"The image is great, and the soud is excelent.",camera,2
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,software,0
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,performance,0
With a MAC computer I have more free time as I don't have to wait for windows to boot up or shut down and all the viruses associated with windows.,software,0
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,software,2
It was very easy to just pick up and use-- It did not take long to get used to the Mac OS.,software,2
"It is well worth the money it cost, Very good investment.",price,2
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",performance,1
"Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;",software,1
This computer had exactly the specifications I needed.,storage,2
My kids (and dogs) destroyed two power cords by pulling on them.,charging,1
"I had upgraded my old MacBook to Lion, so I kind of knew what I was getting, but hadn't been able to enjoy some of the awesome new multi-touch features.",design,2
"The screen is a little glary, and I hated the clicking buttons, but I got used to them.",display,0
"Not to mention, the battery life is absolutely amazing.",battery,2
Windows also shuts the computer down for no reason without warning.,software,0
Now for the hardware problems.,performance,0
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.,storage,0
It's fast and has excellent battery life.,battery,2
"It is loaded with programs that is of no good for the average user, that makes it run way to slow.",software,0
"I feel that it was poorly put together, because once in a while different plastic pieces would come off of it.",design,0
"Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.",storage,1
Windows is also rather unsteady on its feet and is susceptible to many bugs.,software,0
The only bad part is the size/weight.,design,0
The only bad part is the size/weight.,design,0
The little battery that it did have would only last about an hour while just having it on the desktop.,battery,0
I liked the aluminum body.,design,2
Its good for playing my apps on Facebook or watching movies.,camera,2
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",design,0
"From the build quality to the performance, everything about it has been sub-par from what I would have expected from Apple.",performance,0
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",software,1
"I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.",software,2
It was truly a great computer costing less than one thousand bucks before tax.,price,2
"Waiting for the i7 was well worth it, great value for the price.",price,2
"Now,,,,,my monitor has been acting up for about 2 months.",display,0
Boots up fast and runs great!,performance,2
Boots up fast and runs great!,battery,2
Lightweight and the screen is beautiful!,display,2
I needed a driver for my HP and they would not help me with out me paying over $50 for it.,software,1
" A coupla months later, they change my hard drive.",storage,0
I bought this laptop because of the performance to price ratio.,performance,2
I bought this laptop because of the performance to price ratio.,price,2
"After having two PC laptops die with in the past 3 years, I was led to the Apple display at Best Buy by the sleek design and promise of less tech issues.",design,2
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,design,2
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,storage,0
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",storage,0
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",performance,0
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.",price,0
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,performance,2
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",software,1
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",camera,1
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",camera,1
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",camera,1
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",camera,1
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.",camera,1
The screen shows great colors.,display,2
The screen shows great colors.,design,2
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",price,2
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",price,2
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.",price,2
"I have no idea how to burn cd's or to use the web cam, just for starters.",camera,1
"The 17 inch screen is very large, but the computer is very light.",display,0
I also liked the glass screen.,display,2
"The battery life has not decreased since I bought it, so i'm thrilled with that.",battery,2
I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,performance,1
The price and features more than met my needs.,price,2
the mouse buttons are hard to push.,design,0
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",storage,2
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.",storage,1
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,camera,2
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,storage,1
and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,price,0
"Even with virus protection, it always turned off when updates were needed and installed.",software,0
"Also consider the MS Office apps are all trial versions, hope you have your own copies.",software,0
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.",software,2
The battery life is amazingly long at 7hrs and 5hrs if you use it.,battery,2
"lightweight, long battery life, excellent transition from PC;",battery,2
The price is another driving influence that made me purchase this laptop.,price,2
It is stamped and not in pieces therefore it is a stronger more resilient frame.,display,2
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,software,2
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",software,1
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",software,1
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",software,0
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.",software,1
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.",software,1
This is the complete opposite to an ergonomic design.,design,0
I would like at least a 4 hr. battery life.,battery,1
The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,software,0
"Wireless has not been a issue for me, like some others have meantioned.",charging,2
